SITENO,dam_count,min_NID,max_NID,TOT_POPDENS90,TOT_POPDENS00,TOT_POPDENS10,TOT_FRESHWATER_WD,TOT_S1100,TOT_S1200,TOT_S1400,TOT_S1500,TOT_S1630,TOT_S1640,TOT_S1710,TOT_S1720,TOT_S1730,TOT_S1740,TOT_S1780,TOT_S1820,TOT_TOTAL_ROAD_DENS,TOT_RDX,GAGESII_class,WR_report_remarks,ADR_citation,Screening_comments
11383500,NA,NA,NA,0.08,0.09,0.06,19.4,0,0.09,1.1,0.06,0,0,0,0,0,0.01,0,0,1.26,112,Ref,No storage or large diversions upstream from station.,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/11383500.2006.pdf,some roads & logging
11401500,6,120,22566,1.32,1.22,1.25,3.07,0,0.01,1.26,0.05,0,0,0,0,0,0.01,0,0,1.33,851,Non-ref,Several small diversions upstream from station for irrigation,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/14113000.2006.pdf,"irrigated ag HW of trib, upstrm fish hatchery, NEoA"
11413000,5,0,975,1.12,0.99,0.97,6.51,0,0.08,1.15,0.09,0,0,0,0,0,0.01,0,0.01,1.34,244,Non-ref,Minor regulation by Packwood Lake beginning June 1964.  Small diversions for domestic use and irrigation upstream from station.,Water-Data Report -- Washington 1993,prox impoundment
11427000,11,165,19310,6.35,7.65,8.93,17.69,0.08,0,1.32,0.18,0.02,0,0,0,0,0.04,0,0,1.65,293,Non-ref,No regulation. Small diversions for irrigation upstream from station,2002 ADR,some forest roads
11451100,NA,NA,NA,0,0.01,0.01,5.86,0,0,1.02,0,0,0,0,0,0,0,0,0,1.02,47,Ref,NO regulation or diversion,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11451100.2005.pdf,"mostly roadless, NEoA"
11468500,1,190,190,0.73,0.65,1,2.06,0,0.03,1.49,0.03,0,0,0,0,0,0,0,0,1.55,68,Ref,NO regulation or diversion,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11468500.2005.pdf,some roads
11473900,3,21,1225,0.97,1.08,1.22,8.05,0,0.03,0.77,0.07,0,0,0,0,0,0.04,0,0,0.91,498,Ref,No regulation or diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11473900.2005.pdf,"NEoA, some forest roads & logging"
11475560,NA,NA,NA,0,0,0.05,2.06,0,0,0.16,0.25,0,0,0,0,0,0,0,0,0.41,1,Ref,small diversion for domestic use,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11475560.2005.pdf,"HBN, undisturbed"
11476600,NA,NA,NA,0.01,0.01,0,4.01,0,0,1.25,0,0,0,0,0,0,0,0,0.1,1.35,24,Ref,Minor diversions for domestic and recreation use,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11476600.2005.pdf,mod. Roads
11478500,NA,NA,NA,1.05,1.02,1.2,3.45,0,0.08,0.88,0.08,0,0,0,0,0,0.05,0,0,1.1,165,Ref,No storage or large diversion upstream from station.,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11478500.2005.pdf,"mostly roadless, loggin in HW"
11480390,NA,NA,NA,0.7,0.31,0.47,1.97,0,0,0.97,0.04,0,0,0,0,0,0.01,0.02,0.01,1.05,69,Ref,No regulation or diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11480390.2005.pdf,many forest roads
11481200,NA,NA,NA,1.38,1.26,1.03,4.01,0,0,1.98,0.04,0,0,0,0,0,0,0,0,2.02,31,Ref,No storage or diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11481200.2005.pdf,some roads & logging
11482500,NA,NA,NA,0.69,0.61,0.61,4.01,0,0.07,1.42,0.08,0,0,0.01,0,0,0.03,0,0,1.6,200,Ref,No regulation or diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11482500.2005.pdf,many forest roads & logging
11497500,24,56,2700,0.34,0.31,0.33,14.76,0,0.03,1.28,0.04,0,0.5,0.04,0,0,0.03,0,0,1.92,651,Non-ref,Diversions for irrigation upstream from station,2002 ADR,"reservoir in HW, irrigated ag"
11501000,13,56,2870,0.34,0.39,0.42,14.8,0,0.01,1.5,0.03,0,0.55,0.03,0,0,0.03,0,0,2.14,1430,Non-ref,Flow regulated since February 1977 by Lost Creek Lake. Many diversions for irrigation,2002 ADR,upstrm diversions & reservoirs
11522500,NA,NA,NA,0.11,0.08,0.06,12.41,0,0,0.48,0.03,0,0,0.01,0,0,0.01,0,0,0.52,263,Ref,No storage or large diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11522500.2005.pdf,some roads & logging
11523200,NA,NA,NA,0.01,0.02,0.04,2.13,0,0.07,0.64,0,0,0,0,0,0,0,0,0,0.71,66,Ref,No regulation or diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/11523200.2006.pdf,many forest roads & logging
11528700,1,887,887,1.39,1.25,1.45,2.02,0,0.04,1.12,0.05,0,0.01,0.01,0,0,0.04,0,0,1.26,610,Ref,No regulation or diversion upstream from station.,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11528700.2005.pdf,roads & logging
11530000,5,58,2760870,1.75,1.81,2.04,2.25,0,0.05,0.82,0.04,0,0,0,0,0,0.04,0,0.01,0.95,1709,Ref,,2002 ADR,"mod ag & lt development in valleys, forested uplands, NEoA"
11532500,NA,NA,NA,0.51,0.63,0.77,2.39,0,0.04,0.76,0.04,0,0,0,0,0,0,0,0,0.85,190,Ref,No regulation or diversion upstream from station.,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11532500.2005.pdf,many forest roads & logging
12010000,NA,NA,NA,0.63,0.65,0.88,0.97,0,0,1.19,0.09,0,0,0,0,0,0.01,0,0,1.29,26,Ref,No regulation or diversion,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12010000.2002.sw.pdf,many forest roads & logging
12013500,NA,NA,NA,2.49,2.82,2.78,0.98,0,0.09,1.17,0.02,0,0,0.02,0,0,0.01,0,0,1.31,107,Ref,Some diversion for domestic use and irrigation upstream from station.,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/12013500.2006.pdf,"mod ag & lt development, NEoA"
12020000,NA,NA,NA,2.66,3.22,3.31,1.36,0,0.06,1.84,0,0,0,0,0,0,0,0.02,0,1.93,104,Ref,No regulation or diversion upstream from station.,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/12020000.2006.pdf,"many forest roads, small municipal"
12025000,3,16,300,13.42,16.79,20.39,1.44,0.04,0.08,1.63,0,0.01,0,0,0,0,0.03,0,0,1.8,119,Ref,Some diversion for irrgation upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/12025000.2006.pdf,"mod ag & lt development, NEoA"
12025700,NA,NA,NA,0,0,0,2.37,0,0,2.08,0.03,0,0,0,0,0,0,0,0,2.12,27,Ref,No regulation or diversion upstream from station,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12025700.2002.sw.pdf,many forest roads & logging
12027500,26,11,35000,17.25,19.84,22.64,2.29,0.02,0.05,1.61,0.01,0.01,0,0,0,0,0.03,0.01,0,1.72,784,Ref,,http://wdr.water.usgs.gov/wy2007/pdfs/01663500.2007.pdf,"forested uplands & hw, mod-hvy ag & pasture, NEoA"
12035000,NA,NA,NA,1.8,2.44,2.75,1.79,0,0,1.29,0.02,0,0,0,0,0,0.06,0,0,1.37,190,Ref,No regulation or diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/12035000.2006.pdf,"mixed ag & lt development, NEoA"
12040500,NA,NA,NA,0.07,0.05,0.02,0.35,0,0.01,0.41,0,0,0,0,0,0,0.01,0,0,0.44,64,Ref,No regulation or diversion upstream from station,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12040500.2002.sw.pdf,wilderness--Olympic NP
12041200,NA,NA,NA,0.04,0.04,0.02,0.34,0,0.02,0.17,0.02,0,0,0,0,0,0.02,0,0,0.23,40,Ref,No regulation or diversion upstream from station,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12041200.2002.sw.pdf,"proximal forest roads, wilderness HW--Olympic NP"
12043000,NA,NA,NA,10.37,11.12,11.24,0.84,0,0.01,1.06,0.04,0,0,0,0,0,0,0,0,1.12,37,Ref,No regulation or diversion,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12043000.2002.sw.pdf,"proximal urban , some roads/wilderness HW"
12048000,NA,NA,NA,0.14,0.26,0.13,0.66,0,0,0.13,0,0,0,0,0,0,0,0,0,0.13,6,Ref,No regulation or diversion upstream from station,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12048000.2002.sw.pdf,"proximal logging, wilderness HW"
12054000,NA,NA,NA,0.1,0.12,0.07,0.31,0,0,0.17,0,0,0,0,0,0,0,0,0,0.17,5,Ref,No regulation or diversion upstream from station,http://pubs.usgs.gov/wdr/WDR-WA-02-1/data/12054000.2002.sw.pdf,Olympic Nat. Park
