SITENO,YR,MNTH,RX1day,RX5day
01013500,2008,5,16.24,30.66
01013500,2008,6,22.22,62.44
01013500,2008,7,16.18,33.81
01013500,2008,8,34.47,87.47
01013500,2008,9,24.95,54.96
01013500,2008,10,28.19,51.83
01013500,2008,11,14.08,40.41
01013500,2008,12,21.4,49.76
01013500,2009,1,14.63,22.07
01013500,2009,2,10.33,29.55
01013500,2009,3,14.14,24.33
01013500,2009,4,16.13,43.29
01013500,2009,5,22.68,49.14
01013500,2009,6,14.88,36.28
01013500,2009,7,33.54,59.19
01013500,2009,8,27.46,38.12
01013500,2009,9,11.91,32.88
01013500,2009,10,18.96,52.84
01013500,2009,11,21.62,40.22
01013500,2009,12,25.98,34.07
01013500,2010,1,13.54,25.51
01013500,2010,2,17.13,23.96
01013500,2010,3,34,51.12
01013500,2010,4,26.55,39.43
01013500,2010,5,15.75,35.54
01013500,2010,6,24.12,48.15
01013500,2010,7,21.79,53.96
01013500,2010,8,10.44,12.79
01013500,2010,9,39.24,72.75
01013500,2010,10,34.6,34.6
01013500,2010,11,17.32,56.83
01013500,2010,12,44.55,63.37
01013500,2011,1,8.98,18.41
01013500,2011,2,14.3,20.4
01013500,2011,3,29.78,67.07
01013500,2011,4,14.11,28.81
01013500,2011,5,21.86,54.91
01013500,2011,6,52.52,81.39
01013500,2011,7,21.58,58.73
01013500,2011,8,47.91,60.22
01013500,2011,9,33.89,56.4
01013500,2011,10,14.37,37.64
01013500,2011,11,15.1,29.27
01013500,2011,12,17.45,27.1
01013500,2012,1,20.27,32.7
01013500,2012,2,15.14,39.83
01013500,2012,3,10.44,18
01013500,2012,4,27.44,68.5
01013500,2012,5,24.57,38.09
01013500,2012,6,46,113.2
01013500,2012,7,11.1,23.49
01013500,2012,8,20.03,32.15
01013500,2012,9,19.36,31.43
01013500,2012,10,20.22,38.48
01013500,2012,11,5.85,7.29
01013500,2012,12,12.6,40.63
01013500,2013,1,16.59,22.26
01013500,2013,2,19.3,26.91
01013500,2013,3,13.1,28.76
01013500,2013,4,6.12,15.71
01013500,2013,5,28.32,77.18
01013500,2013,6,29.75,72.84
01013500,2013,7,22.59,43.47
01013500,2013,8,22.19,53.24
01013500,2013,9,26.1,51.38
01013500,2013,10,10.92,19.22
01013500,2013,11,39.2,48.08
01013500,2013,12,16.29,34.22
01013500,2014,1,22.3,33.91
01013500,2014,2,12.79,32.28
01013500,2014,3,16.12,32.06
01013500,2014,4,13.69,36.23
01013500,2014,5,11.91,41.69
01013500,2014,6,26.09,41.87
01013500,2014,7,30.99,70.42
01013500,2014,8,14.69,30.19
01013500,2014,9,14.9,37.77
01013500,2014,10,36.81,58.67
01013500,2014,11,12.77,28.59
01013500,2014,12,28.5,56.66
01013500,2015,1,11.46,22.07
01013500,2015,2,9.74,15.93
01013500,2015,3,9.5,20.66
01013500,2015,4,15.19,38.01
01013500,2015,5,13.49,33.43
01013500,2015,6,19.17,55.77
01013500,2015,7,14.62,46.63
01013500,2015,8,21.7,40.93
01013500,2015,9,38.33,57.08
01013500,2015,10,14.89,36.41
01013500,2015,11,18.85,35.89
01013500,2015,12,14.1,42.28
01013500,2016,1,16.31,33.08
01013500,2016,2,38.57,57.83
01013500,2016,3,22.53,46.36
01013500,2016,4,12.33,28.63
01013500,2016,5,11.88,37.67
01013500,2016,6,22.7,42.54
01013500,2016,7,27.71,41.86
01013500,2016,8,21.83,57.32
01013500,2016,9,21.78,37.62
01013500,2016,10,24.14,65.95
01013500,2016,11,20.32,33.95
01013500,2016,12,26.03,53.41
01013500,2017,1,30,47.65
01013500,2017,2,8.65,24.83
01013500,2017,3,22.07,29.16
01013500,2017,4,15.12,32.13
01013500,2017,5,18.84,51.36
01013500,2017,6,30.88,67.67
01013500,2017,7,17.21,34
01013500,2017,8,16.4,23.47
01013500,2017,9,19.49,71.52
01013500,2017,10,55.26,90.04
01013500,2017,11,15.15,43.69
01013500,2017,12,20.52,38.81
01013500,2018,1,29.12,46.71
01013500,2018,2,11.24,28.07
01013500,2018,3,13.13,23.94
01013500,2018,4,24.95,48.18
01013500,2018,5,11.01,24.18
01013500,2018,6,13.45,26.2
01013500,2018,7,29.1,43.82
01013500,2018,8,25.25,66.46
01013500,2018,9,16.39,20.71
01013500,2018,10,31.35,54.43
01013500,2018,11,21.59,50.26
01013500,2018,12,43.72,56.96
01013500,2019,1,28.78,60.56
01013500,2019,2,17.35,32.18
01013500,2019,3,20.89,24.3
01013500,2019,4,21.94,59.72
01013500,2019,5,18.79,43.64
01013500,2019,6,21.76,33.35
01013500,2019,7,19.3,43.87
01013500,2019,8,14.46,27.03
01013500,2019,9,17.49,42.23
01013500,2019,10,49.17,63.36
01013500,2019,11,16.9,29
01013500,2019,12,26.05,31.41
01013500,2020,1,20.3,45.36
01013500,2020,2,22.97,36.02
01013500,2020,3,18.04,34.44
01013500,2020,4,20.82,40.23
01013500,2020,5,13.27,24.77
01013500,2020,6,8.45,14.86
01013500,2020,7,8.97,25.03
01013500,2020,8,20.74,33.43
01013500,2020,9,15.26,22.17
01013500,2020,10,34.96,96.8
01013500,2020,11,33.84,46.13
01013500,2020,12,17.84,33.46
01013500,2021,1,15.28,23.88
01013500,2021,2,33.85,46.29
01013500,2021,3,31.15,67.49
01013500,2021,4,20.05,30.68
01013500,2021,5,15.87,23.74
01013500,2021,6,18.77,46.45
01013500,2021,7,14.34,26.69
01013500,2021,8,13.46,18.2
01013500,2021,9,39.61,78.3
01013500,2021,10,24.21,44.77
01013500,2021,11,14.6,34.08
01013500,2021,12,22.61,34.03
01013500,2022,1,13.19,17.1
01013500,2022,2,21.61,31.1
01013500,2022,3,20.22,27.8
01013500,2022,4,17.98,33.09
01013500,2022,5,55.06,70.62
01013500,2022,6,23.79,41.96
01013500,2022,7,21.34,46.6
01013500,2022,8,28.51,54.29
01013500,2022,9,15.89,34.11
01013500,2022,10,36.39,96.67
01013500,2022,11,23.58,66.87
01013500,2022,12,29.87,44.54
01013500,2023,1,24.69,58.18
01013500,2023,2,16.26,21.85
01013500,2023,3,11.31,27.34
01013500,2023,4,8.27,15.06
01013500,2023,5,19.49,45.56
01013500,2023,6,27.18,57.36
01013500,2023,7,17.82,49.64
01013500,2023,8,32.5,75.08
01013500,2023,9,26.79,58.21
01013500,2023,10,39.24,57.49
01013500,2023,11,11.92,18.16
01013500,2023,12,27.25,49.88
01022500,1980,1,18.88,22.24
01022500,1980,2,16.64,16.87
01022500,1980,3,40.06,95.18
01022500,1980,4,23.94,46.18
01022500,1980,5,16.72,28.04
01022500,1980,6,13.48,23.17
01022500,1980,7,29.06,50.9
01022500,1980,8,16.23,36.93
01022500,1980,9,27.35,64.45
01022500,1980,10,23.5,43.54
01022500,1980,11,25.07,63.93
01022500,1980,12,12.79,24.23
01022500,1981,1,15.03,24.01
01022500,1981,2,23.89,39.18
01022500,1981,3,15.35,26.22
01022500,1981,4,38.34,56.83
01022500,1981,5,17.54,39.26
01022500,1981,6,20.12,45.76
01022500,1981,7,32.11,62.37
01022500,1981,8,45.52,88.96
01022500,1981,9,48.05,113.64
01022500,1981,10,22.22,72.52
01022500,1981,11,18.68,57.61
01022500,1981,12,37.89,80.06
01022500,1982,1,39.03,111.99
01022500,1982,2,19.81,39.03
01022500,1982,3,28.91,31.12
01022500,1982,4,19.55,68.11
01022500,1982,5,4.45,8.1
01022500,1982,6,39.16,39.16
01022500,1982,7,24.36,51.17
01022500,1982,8,16.8,43.82
01022500,1982,9,13.31,31.14
01022500,1982,10,16.4,24.28
01022500,1982,11,28.68,59.26
01022500,1982,12,13.74,22.06
01022500,1983,1,25.9,40.96
01022500,1983,2,14.37,31.97
01022500,1983,3,24.41,49.41
01022500,1983,4,50.49,91.12
01022500,1983,5,32.35,70.51
01022500,1983,6,15.73,24.5
01022500,1983,7,26.31,55.51
01022500,1983,8,25.61,55.1
01022500,1983,9,29.11,42.73
01022500,1983,10,28.05,43.74
01022500,1983,11,62.48,131.39
01022500,1983,12,58.51,111.27
01022500,1984,1,22.06,32.22
01022500,1984,2,23.91,59.79
01022500,1984,3,52.12,90.55
01022500,1984,4,30.52,47.54
01022500,1984,5,36.02,77.43
01022500,1984,6,32.65,83.59
01022500,1984,7,21.29,68.68
01022500,1984,8,11.87,20.74
01022500,1984,9,15.77,42.78
01022500,1984,10,18.25,29.5
01022500,1984,11,24.01,44.18
01022500,1984,12,19.81,50.03
01022500,1985,1,9.48,14.78
01022500,1985,2,30.24,35.11
01022500,1985,3,39.56,52.24
01022500,1985,4,8.51,24.01
01022500,1985,5,14.18,39.98
01022500,1985,6,16.37,39.83
01022500,1985,7,45.81,50.09
01022500,1985,8,43.38,43.38
01022500,1985,9,16.63,39.99
01022500,1985,10,20.65,31.72
01022500,1985,11,29.34,66.34
01022500,1985,12,16.31,25.67
01022500,1986,1,28.53,59.43
01022500,1986,2,14.62,23.6
01022500,1986,3,24.5,45.41
01022500,1986,4,24.86,69.01
01022500,1986,5,23.52,50.63
01022500,1986,6,14.1,23.84
01022500,1986,7,44.19,105.64
01022500,1986,8,23.41,63.46
01022500,1986,9,15.93,23.12
01022500,1986,10,8.19,18.76
01022500,1986,11,39.1,56.66
01022500,1986,12,35.92,43.2
01022500,1987,1,24.25,42.05
01022500,1987,2,8.38,23.62
01022500,1987,3,22.9,45.35
01022500,1987,4,19.08,35.96
01022500,1987,5,12.7,30.48
01022500,1987,6,24.2,34.73
01022500,1987,7,12.32,20.07
01022500,1987,8,19.86,23.91
01022500,1987,9,62.11,94.79
01022500,1987,10,23.29,40.26
01022500,1987,11,43.69,64.73
01022500,1987,12,18.92,34.19
01022500,1988,1,23.17,35.28
01022500,1988,2,33.85,53.73
01022500,1988,3,25.36,44.21
01022500,1988,4,20.77,39.17
01022500,1988,5,22.78,30.03
01022500,1988,6,10.95,20.51
01022500,1988,7,17.12,49.89
01022500,1988,8,27.41,48.18
01022500,1988,9,19.32,30.63
01022500,1988,10,29.63,68.36
01022500,1988,11,54.83,95.54
01022500,1988,12,11.79,31.5
01022500,1989,1,13.13,18.47
01022500,1989,2,18.53,37.21
01022500,1989,3,18.5,31.3
01022500,1989,4,20.07,53.93
01022500,1989,5,40.73,107.04
01022500,1989,6,21.1,58.87
01022500,1989,7,15.14,20.95
01022500,1989,8,17.02,60.78
01022500,1989,9,22.67,46.7
01022500,1989,10,38.11,47.31
01022500,1989,11,25.69,40.23
01022500,1989,12,19.31,43.83
01022500,1990,1,23.43,62.17
01022500,1990,2,11.05,20.47
01022500,1990,3,12.26,38.48
01022500,1990,4,22.78,39.29
01022500,1990,5,33.62,71.06
01022500,1990,6,27.43,50.39
01022500,1990,7,25.49,66.87
01022500,1990,8,47.23,61.19
01022500,1990,9,28.7,58.25
01022500,1990,10,34.36,55.14
01022500,1990,11,34.3,66.03
01022500,1990,12,51.1,58.89
01022500,1991,1,25.22,49.36
01022500,1991,2,13.55,15.6
01022500,1991,3,22.38,55.13
01022500,1991,4,27.91,43.27
01022500,1991,5,20.85,39.89
01022500,1991,6,11.63,32.72
01022500,1991,7,20.33,38.12
01022500,1991,8,45.67,96.12
01022500,1991,9,60.01,100.45
01022500,1991,10,24.35,35.22
01022500,1991,11,18.84,34.55
01022500,1991,12,19.89,30.21
01022500,1992,1,46.29,75.79
01022500,1992,2,30.29,55.22
01022500,1992,3,22.67,36.52
01022500,1992,4,15.73,24.77
01022500,1992,5,6.11,10.68
01022500,1992,6,41.54,80.32
01022500,1992,7,34.98,37.7
01022500,1992,8,24.05,40.75
01022500,1992,9,20.54,25.36
01022500,1992,10,21.1,54.82
01022500,1992,11,13.33,38.12
01022500,1992,12,15.95,28.8
01022500,1993,1,19.19,34.05
01022500,1993,2,30.78,64.92
01022500,1993,3,35.13,61.73
01022500,1993,4,34.46,61.39
01022500,1993,5,15.58,27.35
01022500,1993,6,23.56,37.67
01022500,1993,7,10.41,25.57
01022500,1993,8,5.47,11.13
01022500,1993,9,31.9,50.53
01022500,1993,10,24.24,48.02
01022500,1993,11,27.81,45.04
01022500,1993,12,41.57,83.4
01022500,1994,1,32.76,63.23
01022500,1994,2,10.86,14.93
01022500,1994,3,27.78,50.64
01022500,1994,4,17.34,34.61
01022500,1994,5,31.98,61.75
01022500,1994,6,13.5,29.37
01022500,1994,7,13.25,30.85
01022500,1994,8,16.99,39.85
01022500,1994,9,25.69,46.88
01022500,1994,10,42.49,69.17
01022500,1994,11,26.73,39.4
01022500,1994,12,25.75,38.32
01022500,1995,1,20.48,48.98
01022500,1995,2,32.06,50.44
01022500,1995,3,18.36,53.21
01022500,1995,4,10.71,33.94
01022500,1995,5,27.41,59
01022500,1995,6,30.74,55.1
01022500,1995,7,25.07,72.03
01022500,1995,8,13.54,14.7
01022500,1995,9,17.48,35.67
01022500,1995,10,27.74,51.88
01022500,1995,11,49.81,88.76
