SITENO,TOT_STREAM_SLOPE,TOT_STREAM_LENGTH,TOT_STRM_DENS,SINU,TOT_BFI,TOT_EWT,TOT_RECHG,TOT_SATOF,TOT_TWI,TOT_IEOF,TOT_CONTACT,TOT_RF7100,q_mean,FDC_slope,mean_hf_date,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q,mean_cfs,CV,skew,kurt,ar1,amplitude,phase
14020000,0.041909,221.91,0.65,1.14,64.22,-62.72,324.5,0,10.06,3.54,27.28,52.36,1.672159822,1.678946258,86.55813953,0.29,5.55,3.302325581,3.098591549,3.953488372,17.98235294,0,234.55,0.56,0.49,0.23,0.832,0.76,83.044
14080500,0.011105,3898.35,0.61,1.78,61.02,-20.79,30.11,0,11.62,0.01,270.01,9.95,0.173359803,0.533609876,108,0.01,0.74,0.9,12.55555556,1.9,35.78947368,2.73822563,455.33,0.56,0.52,0.37,0.973,0.62,98.468
14092750,0.049556,52.87,0.81,1.19,78.73,-90.76,1073.18,2.27,9.69,0,12.97,104.11,2.93614424,0.747756159,96.29268293,0.92,7.07,0.829268293,1.647058824,0,NA,0,78.13,0.37,0.41,0.26,0.816,0.46,97.113
14096850,0.010547,285.39,0.74,1.08,80.4,-19.65,420.91,2.78,11.19,0.94,185.18,27.45,0.491654346,0.651041964,74.125,0.21,1.3,1.35,2.796296296,0.025,7,0,77.45,0.41,0.58,0.36,0.842,0.56,65.45
14101500,0.022492,957.23,0.93,1.07,78.33,-30.17,553.51,0.89,10.87,1.08,129.81,37.13,0.919654519,1.205878814,81.38461538,0.23,2.43,0.692307692,3.111111111,0.307692308,4,0,386.18,0.45,0.42,0.21,0.912,0.81,75.453
14113000,0.026902,2473.81,0.75,1.31,72.51,-38.78,402.19,0.69,10.78,0.32,200.11,43.51,1.135989175,0.836989127,89.25581395,0.43,2.59,0.255813953,2.090909091,0,NA,0,1533.53,0.35,0.38,0.19,0.913,0.75,86.671
14137000,0.059338,573.66,0.85,1.33,68.13,-56.25,1653.66,2.89,9.92,0.37,35.67,188.89,4.652415791,1.055090229,60.90697674,1,11.92,1.11627907,1.458333333,1.395348837,7.366666667,0,1303.23,0.44,0.38,0.24,0.752,0.61,49.761
14138800,0.043636,19.25,0.89,1.09,55.03,-24.63,1562.01,2.98,10.19,0.02,21.34,287.59,6.33339255,1.709141326,44.11627907,0.23,22.21,6.093023256,1.866412214,4.651162791,23.475,0,55.6,0.61,0.49,0.29,0.694,0.51,37.81
14138870,0.040187,10.7,0.71,1.32,48.1,-57.3,1011.5,2.02,9.16,0.02,13.75,249.74,5.560676855,1.448298079,39.79069767,0.4,18.7,3.418604651,1.707482993,4,22.45930233,0,34.5,0.56,0.44,0.26,0.711,0.59,33.655
14138900,0.040436,15.58,0.74,1.04,48.03,-26.79,829.11,3.18,9.32,0.52,36.09,267.96,7.977773321,1.208534807,42.30232558,1.22,25.35,3.488372093,1.606666667,3.88372093,13.85628743,0,71.74,0.52,0.47,0.3,0.703,0.56,31.76
14139800,0.037048,33.47,0.82,1.06,49.45,-34.89,973.43,2.81,10.12,0.44,37.74,223.06,6.730965298,1.435859454,41.37209302,0.63,21.3,2.76744186,1.638655462,3.976744186,20.8245614,0,112.52,0.54,0.44,0.25,0.717,0.6,33.551
14141500,0.027096,39.12,0.65,1.04,51.36,-40.72,1000.7,2.92,10.07,0.68,52.22,196.53,5.532914995,1.408904276,45.39534884,0.53,17.23,2.23255814,1.541666667,4.441860465,18.86387435,0,136.14,0.53,0.41,0.24,0.731,0.63,37.51
14154500,0.042284,370.59,0.67,1.1,53.23,-67.64,514.79,1.93,10.1,1.97,44.11,99.75,2.506005094,2.369527998,63.76744186,0.09,8.99,5.953488372,2.29296875,4.627906977,29.20100503,0,562.8,0.64,0.49,0.27,0.732,0.63,41.941
