SITENO,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,TOT_NO10AVE,TOT_NO200AVE,TOT_NO4AVE,TOT_OM,TOT_PERMAVE,TOT_ROCKDEP,TOT_BDAVE,TOT_AWCAVE,TOT_WTDEP,TOT_SALINAVE,TOT_pH,TOT_HGA,TOT_HGAC,TOT_HGAD,TOT_HGB,TOT_HGBC,TOT_HGBD,TOT_HGC,TOT_HGCD,TOT_HGD,TOT_HGVAR,TOT_KFACT,TOT_KFACT_UP
07151500,35.93,21.77,42.31,95.08,55.08,97.31,0.59,2.66,58.23,1.48,0.15,5.74,36.57,7.18,7.44,0,0,71.58,0,0,11.45,0,9.53,0,0.3,0.27
07152000,43.26,27.86,28.87,96.9,69.36,98.25,0.88,1.8,58.06,1.49,0.16,5.69,25.97,7.24,3.71,0,0,56.67,0,0,14.62,0,25,0,0.33,0.34
07163000,45.3,33.49,21.21,97.55,76.85,97.99,1.21,1.16,47.6,1.5,0.17,5.96,1.55,7.02,0,0,0,40.64,0,0,11.55,0,47.81,0,0.37,0.4
07167500,52.88,38.05,9.08,93.2,84.73,93.85,1.7,0.46,37.43,1.4,0.17,4.74,119.16,7.11,0,0,0,8.99,0,0,62.04,0,28.97,0,0.36,0.35
07172000,53.24,37.02,9.74,93.96,84.81,94.53,1.78,0.55,35.34,1.4,0.17,5.15,104.75,7.19,0,0,0,9.53,0,0,60.94,0,29.53,0,0.34,0.34
07177500,47.1,30.43,22.47,92.89,72.08,93.56,0.75,1.52,36.19,1.47,0.16,3.92,9.78,6.21,0,0,0,25.75,0,0.08,49.21,0,24.95,0,0.33,0.32
07180500,51.12,39.35,9.53,89.98,81.38,91.78,2.03,0.52,43.98,1.4,0.18,5.81,278.39,7.06,0,0,0,10.01,0,0,45.56,0,44.43,0,0.39,0.34
07183000,49.52,40.26,10.22,90.13,80.88,92.14,1.65,0.53,50.12,1.42,0.17,4.53,142.16,6.93,0,0,0,16.65,0,0.06,41.89,0,41.41,0,0.38,0.34
07184000,50.08,38.2,11.72,96.26,85.04,97.15,0.76,1.02,54,1.43,0.18,2.66,0.05,6.53,0,0,0,15.93,0,0.13,30.35,0,53.59,0,0.35,0.38
07186000,47.6,35.64,16.76,72.97,60.5,77.2,0.7,1.34,53.09,1.41,0.13,3.76,5.68,6,0,0,0,27.27,0,0,54.96,0.65,17.12,0,0.33,0.34
07195800,40.55,37.97,21.48,46.17,36.33,53.36,0.57,1.7,58.26,1.37,0.11,5.48,0,5.73,0,0,0,62.36,0,0,33.11,0,4.53,0,0.38,0.31
07196500,41.91,35.3,22.79,52.67,40.46,59.87,0.62,1.69,56.41,1.39,0.11,5.27,0,5.45,0.65,0,0,57.06,0,0,35.09,0,7.2,0,0.37,0.31
07196900,37.33,29.02,33.65,70.05,46.48,78.22,0.96,1.9,41.46,1.42,0.11,5.89,0,4.86,0,0,0,55.77,0,0,29.53,0,14.7,0,0.3,0.23
07197000,40.69,34.49,24.82,53.59,39.83,60.84,0.68,1.83,53.6,1.39,0.11,5.59,0,5.5,0.92,0,0,61.38,0,0,29.77,0,7.93,0,0.36,0.29
07208500,36.49,29.18,34.33,67.76,46.78,72.79,0.51,1.89,50.91,1.41,0.11,6,33.58,6.73,0.08,0,0,38.74,0,0,34.59,0,26.59,0,0.35,0.22
07211500,44.17,33.56,22.27,86.5,68.31,89.27,0.37,1.03,48.7,1.38,0.15,5.99,110.97,7.31,0.4,0,0,27.16,0,0,47.02,0,25.42,0,0.31,0.27
07221000,42.99,33.36,23.65,84.01,64.7,87.37,0.55,1.05,47.36,1.38,0.14,5.98,92.91,7.22,0.22,0,0,26.7,0,0,41.92,0,31.16,0,0.34,0.31
07226500,36.43,24.05,39.51,90.59,54.69,92.74,0.36,2.74,51.68,1.46,0.14,6,98.28,7.88,5.69,0,0,52.59,0,0,13.69,0,28.03,0,0.31,0.28
07243500,38.92,27.06,34.02,94.93,62.67,95.52,0.74,2.05,40.07,1.51,0.15,5.27,22.54,6.24,1.66,0,0,49.01,0,0,25.72,0,23.61,0,0.32,0.29
07252000,36.37,29.53,34.09,70.02,46.15,78.79,0.95,2,42.36,1.42,0.11,6,0,4.88,0,0,0,56,0,0,28,0,16,0,0.29,0.22
07261000,40.43,25.28,34.29,71.31,46.91,77.12,0.98,2.07,32.26,1.46,0.11,5.66,0,4.83,0,0,0,43.47,0,0,24.85,0,31.68,0,0.32,0.27
07263295,49.66,29.2,21.14,68.5,54.11,70.96,0.49,2.48,39.15,1.48,0.12,5.77,0,5.27,0,0,0,39.96,0,0,38.6,0,21.45,0,0.34,0.25
07288500,43.88,47.18,8.93,99.95,91.03,100,0.18,0.6,60,1.48,0.17,1.59,0,6.2,0.53,0,0,5.31,0,0,18.42,0,75.74,0,0.32,0.35
07290000,58.6,21.27,20.12,97.5,78.11,99.53,0.23,1.47,59.97,1.47,0.17,3.67,0,5.23,0.45,0,0,33.98,0,0,58.82,0,6.75,0,0.37,0.41
07290650,57.58,22.54,19.88,95.75,77.07,97.57,0.29,1.52,59.95,1.48,0.16,3.76,0,5.39,0.62,0,0,30.94,0,0.01,52.9,0,15.53,0,0.37,0.41
07291000,51.25,21.15,27.6,91.43,66.43,94.67,0.26,1.96,60,1.48,0.15,4.29,0,5.17,1.69,0,0,49.7,0,1.44,35.08,0,12.1,0,0.34,0.37
07292500,51.03,21.27,27.7,92.46,67.03,95.77,0.26,2,60,1.48,0.15,4.32,0,5.17,2.02,0,0,49.77,0,1.63,32.72,0,13.86,0,0.34,0.38
07295000,54.22,23.05,22.73,94.34,72.96,97.38,0.33,1.65,60,1.48,0.16,4.07,0,5.3,0,0,0,35.56,0,0,36.5,0,27.94,0,0.35,0.4
07299670,41.42,37.86,20.72,94.76,75.08,96.79,0.82,0.57,56.69,1.53,0.14,6,339.36,7.96,0,0,0,21.36,0,0,55.67,0,22.97,0,0.33,0.32
07301410,28.08,18,53.92,96.78,44.42,98.08,0.5,3.15,60,1.54,0.12,5.99,20.68,7.31,28.55,0,0,63.24,0,0,2.77,0,5.44,0,0.25,0.21
07301500,34.43,21.47,44.1,95.98,53.45,97.41,0.58,3.12,57.97,1.51,0.13,5.95,43.76,7.51,26.85,0,0,45.86,0,0,7.67,0,19.62,0,0.28,0.26
07307800,36.93,30.15,32.92,94.7,63.69,96.51,0.61,1.64,58.23,1.5,0.14,5.89,25.84,7.78,7.65,0,0,46.36,0,0,13.4,0,32.59,0,0.31,0.29
